"chord"	"altchord"	"measure"	"beat"	"totbeat"	"timesig"	"op"	"no"	"mov"	"length"	"global_key"	"local_key"	"pedal"	"numeral"	"form"	"figbass"	"changes"	"relativeroot"	"phraseend"
"#viio43/ii"	""	"70"	"2.0"	"209.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"#vii"	"o"	"43"	""	"ii"	false
"ii6"	""	"70"	"3.0"	"210.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"ii"	""	"6"	""	""	false
"#viio65/ii"	""	"71"	"1.0"	"211.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"#vii"	"o"	"65"	""	"ii"	false
"ii"	""	"71"	"2.0"	"212.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"ii"	""	""	""	""	false
"#viio7/ii"	""	"71"	"3.0"	"213.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"#vii"	"o"	"7"	""	"ii"	false
"ii"	""	"72"	"1.0"	"214.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"ii"	""	""	""	""	false
"ii6"	""	"72"	"2.0"	"215.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"ii"	""	"6"	""	""	false
"vii%7/V"	""	"72"	"3.0"	"216.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"vii"	"%"	"7"	""	"V"	false
"V"	""	"73"	"1.0"	"217.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"V"	""	""	""	""	false
"vii%7"	""	"73"	"2.0"	"218.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"vii"	"%"	"7"	""	""	false
"I"	""	"73"	"3.0"	"219.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"I"	""	""	""	""	false
"ii"	""	"74"	"1.0"	"220.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"ii"	""	""	""	""	false
"I6"	""	"74"	"2.0"	"221.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"I"	""	"6"	""	""	false
"viio64"	""	"74"	"3.0"	"222.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"vii"	"o"	"64"	""	""	false
"V(+2)"	""	"75"	"1.0"	"223.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"V"	""	""	"+2"	""	false
"@none"	""	"75"	"2.0"	"224.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	""	""	""	""	""	false
